,label_1st,label_2nd,label_3rd,scores_1st,scores_2nd,scores_3rd
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00059_00002.png,Watch for children,No passing,Do not enter,0.07266804575920105,0.05537812411785126,0.05518064275383949
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00001_00020.png,End maximum speed 80,Maximum speed 50,Maximum speed 60,0.3360072076320648,0.07747713476419449,0.06813756376504898
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00007_00004.png,End maximum speed 80,Maximum speed 60,Maximum speed 50,0.19353535771369934,0.13897830247879028,0.13325448334217072
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00026_00003.png,General danger,Watch for children,End maximum speed 80,0.10253632068634033,0.0551011748611927,0.052816420793533325
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00054_00006.png,End maximum speed 80,Maximum speed 80,Maximum speed 50,0.11135709285736084,0.10870657116174698,0.10394540429115295
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00000_00029.png,Maximum speed 60,Maximum speed 50,Maximum speed 80,0.18663771450519562,0.18373434245586395,0.17589060962200165
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00038_00006.png,End maximum speed 80,Maximum speed 80,Maximum speed 50,0.06402920186519623,0.05790727213025093,0.05652227997779846
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00031_00020.png,Maximum speed 50,Maximum speed 60,End maximum speed 80,0.19393394887447357,0.17036965489387512,0.15113504230976105
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00053_00025.png,Maximum speed 50,Maximum speed 60,Maximum speed 80,0.1912463903427124,0.162405326962471,0.15840676426887512
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00013_00017.png,End maximum speed 80,Maximum speed 80,Maximum speed 50,0.20967791974544525,0.17559458315372467,0.16443626582622528
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00049_00016.png,End maximum speed 80,Maximum speed 80,Maximum speed 60,0.2120974361896515,0.15833425521850586,0.1312078833580017
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00044_00029.png,Roundabout,Heavy Vehicles prohibited,Maximum speed 50,0.08300168067216873,0.067676842212677,0.0656905472278595
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00042_00025.png,Maximum speed 60,End maximum speed 80,Maximum speed 80,0.17649906873703003,0.17524182796478271,0.17322728037834167
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00028_00000.png,End maximum speed 80,Stop,General danger,0.05206025019288063,0.04845196381211281,0.04185648635029793
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00011_00028.png,Maximum speed 50,Maximum speed 80,Maximum speed 60,0.21743638813495636,0.18770591914653778,0.148027241230011
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00045_00027.png,Maximum speed 60,Maximum speed 80,Maximum speed 50,0.18037760257720947,0.177878737449646,0.16885606944561005
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00044_00028.png,Heavy Vehicles prohibited,Maximum speed 50,Maximum speed 30,0.12531989812850952,0.07143918424844742,0.05277571082115173
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00008_00001.png,Maximum speed 80,End maximum speed 80,Maximum speed 50,0.07435393333435059,0.06831030547618866,0.05699532851576805
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00042_00014.png,End maximum speed 80,Maximum speed 80,Maximum speed 60,0.18465137481689453,0.17056626081466675,0.1695426106452942
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00030_00006.png,General danger,Watch for children,Stop,0.06272929906845093,0.05192304402589798,0.04487646371126175
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/5/00005_00016_00007.png,Maximum speed 50,Maximum speed 60,Maximum speed 30,0.2205151915550232,0.17127028107643127,0.15048848092556
