,1st,2nd,3rd,total
Maximum speed 20,86,11,2,99
Maximum speed 30,48,20,15,83
Maximum speed 50,71,5,1,77
Maximum speed 60,36,39,10,85
Maximum speed 70,91,2,1,94
Maximum speed 80,4,24,20,48
End maximum speed 80,44,18,14,76
Maximum speed 100,61,5,4,70
No passing,2,1,5,8
No passing for trucks,0,5,1,6
Yield,43,17,7,67
Stop,93,1,1,95
Heavy Vehicles prohibited,76,13,4,93
Pedestrian crossing,11,16,10,37
Watch for children,59,12,9,80
Cattle,2,1,1,4
End of all restrictions,2,11,5,18
Turn right ahead,5,9,10,24
Ahead only,0,1,0,1
Ahead or turn right only,0,1,2,3
Ahead or turn left only,0,3,7,10
End of no passing zone,4,6,6,16
