,label_1,score_1,label_2,score_2,label_3,score_3,label_4,score_4,label_5,score_5,label_6,score_6,label_7,score_7,label_8,score_8,label_9,score_9,label_10,score_10,label_11,score_11,label_12,score_12,label_13,score_13,label_14,score_14,label_15,score_15,label_16,score_16,label_17,score_17,label_18,score_18,label_19,score_19,label_20,score_20,label_21,score_21,label_22,score_22,label_23,score_23,label_24,score_24,label_25,score_25,label_26,score_26,label_27,score_27,label_28,score_28,label_29,score_29,label_30,score_30,label_31,score_31,label_32,score_32,label_33,score_33,label_34,score_34,label_35,score_35,label_36,score_36,label_37,score_37,label_38,score_38,label_39,score_39,label_40,score_40,label_41,score_41,label_42,score_42,label_43,score_43
/home/seba/Desktop/scripts/unsupervised_ml/data/train/0/00000_00001_00023.png,20,0.3340262770652771,120,0.1791956126689911,70,0.17076213657855988,two cars,0.0818650871515274,30,0.03567291796207428,z-shaped arrow,0.024763694033026695,slipping car,0.023078693076968193,100,0.01865280047059059,80,0.012554441578686237,50,0.01140127144753933,red circle and white line,0.011262061074376106,three arrows in a circle,0.010340938344597816,two vertical lines,0.010260228998959064,60,0.009386088699102402,croos out 80,0.008351536467671394,Stop,0.007574731484055519,two crossed out cars,0.006434000562876463,profile truck,0.005595162510871887,crossed out circle,0.0050427610985934734,white circle,0.004881509114056826,circle with straight arrow,0.003771324874833226,two mounds,0.0032656716648489237,one person walking,0.002383326878771186,bicycle,0.0019476872403174639,antelope,0.0015991777181625366,circle with straight and curved arrow to the right,0.001573055051267147,person with child walking,0.001451154937967658,circle with right curved arrow,0.0014307782985270023,yellow diamond,0.0011910152388736606,circle with left curved arrow,0.00118313601706177,truck and car,0.0011676670983433723,circle with right diagonal arrow,0.0011511899065226316,exclamation mark,0.00099079345818609,circle with left diagonal arrow,0.0009737261570990086,snowflake,0.0009035535040311515,circle with straight and left arrow to the right,0.0008369950810447335,inverted white triangle,0.0005631487001664937,triengle with right curved arrow,0.000531132216565311,arrow with beside sticks,0.0005012991605326533,triengle with left curved arrow,0.0004538536595646292,triangle with three circles,0.00036353160976432264,person and a mound,0.000344478408806026,crossed out truck and car,0.00032047060085460544
/home/seba/Desktop/scripts/unsupervised_ml/data/train/0/00000_00001_00029.png,20,0.35300275683403015,70,0.18005698919296265,120,0.175883948802948,two cars,0.07933398336172104,30,0.03488713502883911,slipping car,0.02830272912979126,z-shaped arrow,0.016658447682857513,100,0.01520639006048441,three arrows in a circle,0.013852338306605816,50,0.010350886732339859,80,0.009898800402879715,red circle and white line,0.009222878143191338,60,0.00818024855107069,two crossed out cars,0.008134986273944378,croos out 80,0.007209315896034241,crossed out circle,0.006591029465198517,two vertical lines,0.005382161121815443,profile truck,0.005340236239135265,Stop,0.004768266808241606,white circle,0.004334126599133015,circle with straight arrow,0.0031749936752021313,two mounds,0.0028696649242192507,circle with straight and curved arrow to the right,0.002411656081676483,one person walking,0.001265223021619022,circle with right curved arrow,0.0011764822993427515,circle with straight and left arrow to the right,0.0011684828205034137,antelope,0.0010802618926391006,circle with left curved arrow,0.0010520825162529945,truck and car,0.0009579703328199685,circle with right diagonal arrow,0.000900900224223733,yellow diamond,0.0008551233331672847,bicycle,0.0008487325394526124,circle with left diagonal arrow,0.0008434989140368998,person with child walking,0.0008309460245072842,exclamation mark,0.0007452943827956915,triangle with three circles,0.0005332253640517592,arrow with beside sticks,0.0004912677104584873,triengle with right curved arrow,0.0004136265779379755,snowflake,0.0004040333442389965,crossed out truck and car,0.0003800019039772451,triengle with left curved arrow,0.00037441388121806085,person and a mound,0.0003203179221600294,inverted white triangle,0.00030417984817177057
/home/seba/Desktop/scripts/unsupervised_ml/data/train/0/00000_00004_00023.png,20,0.3595598638057709,120,0.15079240500926971,70,0.14738979935646057,two cars,0.07726234942674637,30,0.055002059787511826,100,0.02609018236398697,50,0.020276160910725594,slipping car,0.017157845199108124,80,0.017050806432962418,60,0.016074063256382942,z-shaped arrow,0.01513625867664814,three arrows in a circle,0.012720991857349873,croos out 80,0.010741734877228737,white circle,0.010003559291362762,two vertical lines,0.006565576419234276,profile truck,0.006265921052545309,exclamation mark,0.005679866299033165,Stop,0.0051156762056052685,bicycle,0.004742041230201721,crossed out circle,0.004280197899788618,red circle and white line,0.004227347671985626,two mounds,0.0038241634611040354,two crossed out cars,0.0033797079231590033,one person walking,0.0031311013735830784,truck and car,0.00219162181019783,antelope,0.002173409564420581,circle with straight and curved arrow to the right,0.0021691774018108845,yellow diamond,0.0018364466959610581,person with child walking,0.0016282619908452034,circle with straight arrow,0.0010252214269712567,circle with straight and left arrow to the right,0.0009243767708539963,snowflake,0.0008529900806024671,inverted white triangle,0.000847468210849911,person and a mound,0.0006114898715168238,circle with right curved arrow,0.0005501091945916414,circle with left curved arrow,0.0004998455988243222,circle with right diagonal arrow,0.00040847595664672554,triangle with three circles,0.0003873337700497359,circle with left diagonal arrow,0.00038475223118439317,arrow with beside sticks,0.0003099766618106514,triengle with right curved arrow,0.0002567881019786,triengle with left curved arrow,0.00024328210565727204,crossed out truck and car,0.00022936906316317618
/home/seba/Desktop/scripts/unsupervised_ml/data/train/0/00000_00005_00008.png,20,0.23093783855438232,70,0.15627942979335785,120,0.11349041759967804,30,0.06816257536411285,two cars,0.06729242950677872,50,0.034004583954811096,z-shaped arrow,0.03314371034502983,80,0.03162184730172157,60,0.029797453433275223,100,0.027388986200094223,three arrows in a circle,0.027184344828128815,two crossed out cars,0.020545825362205505,white circle,0.014964650385081768,crossed out circle,0.013422620482742786,croos out 80,0.011252988129854202,one person walking,0.01006727758795023,slipping car,0.009891935624182224,Stop,0.009638326242566109,bicycle,0.009242712520062923,profile truck,0.00896277092397213,two vertical lines,0.008754479698836803,red circle and white line,0.007594832219183445,person with child walking,0.007449597120285034,two mounds,0.006749201565980911,yellow diamond,0.005064588505774736,circle with straight arrow,0.004370030481368303,antelope,0.004315247759222984,circle with straight and curved arrow to the right,0.0029054207261651754,inverted white triangle,0.0026796485763043165,circle with straight and left arrow to the right,0.002526402473449707,truck and car,0.002293188124895096,snowflake,0.002233607228845358,circle with right diagonal arrow,0.0021963249891996384,exclamation mark,0.0021410565823316574,triangle with three circles,0.0019104871898889542,circle with left diagonal arrow,0.0019018632592633367,crossed out truck and car,0.001764056389220059,circle with right curved arrow,0.0013835676945745945,circle with left curved arrow,0.001110039185732603,arrow with beside sticks,0.0009354850626550615,person and a mound,0.0009138075984083116,triengle with right curved arrow,0.0008041729452088475,triengle with left curved arrow,0.0007102082599885762
/home/seba/Desktop/scripts/unsupervised_ml/data/train/0/00000_00004_00019.png,20,0.3706248700618744,120,0.17731700837612152,70,0.13748699426651,two cars,0.07552167773246765,30,0.04443197324872017,100,0.02285914681851864,z-shaped arrow,0.021076755598187447,50,0.014283622615039349,80,0.012727497145533562,60,0.01223617885261774,three arrows in a circle,0.011943704448640347,croos out 80,0.011220713146030903,crossed out circle,0.010497987270355225,slipping car,0.008964926935732365,white circle,0.007117941044270992,Stop,0.006451335269957781,two crossed out cars,0.0063965655863285065,two vertical lines,0.005445162765681744,profile truck,0.005374267231673002,two mounds,0.0042305742390453815,red circle and white line,0.004203524440526962,one person walking,0.004193290136754513,bicycle,0.003573968540877104,circle with straight and curved arrow to the right,0.00307939643971622,person with child walking,0.002983759855851531,exclamation mark,0.0025173602625727654,antelope,0.0023274628911167383,circle with straight and left arrow to the right,0.0014076551888138056,truck and car,0.0013136464403942227,circle with straight arrow,0.00105631398037076,yellow diamond,0.0010356202255934477,person and a mound,0.00096910260617733,inverted white triangle,0.0008943557040765882,snowflake,0.0005708274547941983,circle with right curved arrow,0.000489506870508194,circle with right diagonal arrow,0.0004696277901530266,circle with left curved arrow,0.00044841610360890627,circle with left diagonal arrow,0.0004458039766177535,arrow with beside sticks,0.00043645984260365367,triangle with three circles,0.00042833643965423107,crossed out truck and car,0.0004118304932489991,triengle with right curved arrow,0.0002758120244834572,triengle with left curved arrow,0.00025905249640345573
/home/seba/Desktop/scripts/unsupervised_ml/data/train/0/00000_00006_00002.png,crossed out circle,0.159987211227417,three arrows in a circle,0.11136870831251144,two cars,0.07890117913484573,20,0.05830182507634163,two crossed out cars,0.05306578800082207,70,0.053043730556964874,z-shaped arrow,0.045814380049705505,120,0.04508740454912186,red circle and white line,0.04249228909611702,croos out 80,0.03050335869193077,white circle,0.024182667955756187,circle with straight arrow,0.021797355264425278,bicycle,0.01881825551390648,30,0.018304867669939995,one person walking,0.018111152574419975,50,0.0167422853410244,circle with straight and curved arrow to the right,0.01630529947578907,Stop,0.015997858718037605,person with child walking,0.01462211087346077,80,0.013544021174311638,60,0.012715158052742481,circle with straight and left arrow to the right,0.012348754331469536,circle with right diagonal arrow,0.010447241365909576,circle with left diagonal arrow,0.010000116191804409,two vertical lines,0.009373817592859268,slipping car,0.009211062453687191,circle with right curved arrow,0.008062676526606083,exclamation mark,0.007871774956583977,circle with left curved arrow,0.007539576850831509,profile truck,0.006970921065658331,two mounds,0.006892651319503784,triangle with three circles,0.006721229758113623,100,0.005658170208334923,arrow with beside sticks,0.005231914110481739,antelope,0.004303942434489727,crossed out truck and car,0.0042478409595787525,triengle with right curved arrow,0.0036960404831916094,person and a mound,0.003642828669399023,triengle with left curved arrow,0.003597416216507554,truck and car,0.0017368185799568892,inverted white triangle,0.0015501538291573524,snowflake,0.0006293484475463629,yellow diamond,0.0005588334170170128
/home/seba/Desktop/scripts/unsupervised_ml/data/train/0/00000_00004_00001.png,20,0.3309742212295532,120,0.17503568530082703,70,0.12747982144355774,two cars,0.10305097699165344,30,0.034264031797647476,three arrows in a circle,0.029342034831643105,z-shaped arrow,0.023095402866601944,100,0.01959378644824028,croos out 80,0.01622740738093853,slipping car,0.013876383192837238,50,0.013005159795284271,80,0.011505462229251862,60,0.01133071631193161,two vertical lines,0.011109653860330582,white circle,0.009974065236747265,bicycle,0.008777369745075703,crossed out circle,0.006526956334710121,Stop,0.0065019563771784306,two crossed out cars,0.004645746201276779,two mounds,0.00460942555218935,profile truck,0.0042909784242510796,person with child walking,0.004278123378753662,exclamation mark,0.004248427227139473,circle with straight and curved arrow to the right,0.004065562505275011,red circle and white line,0.003839298151433468,one person walking,0.003357700537890196,antelope,0.002261781832203269,truck and car,0.0018425302114337683,circle with straight and left arrow to the right,0.0017342146020382643,yellow diamond,0.0014782176585868,circle with straight arrow,0.0014527596067637205,inverted white triangle,0.0009439162095077336,circle with right diagonal arrow,0.0007831372204236686,circle with left diagonal arrow,0.0007068473496474326,arrow with beside sticks,0.0005811750888824463,snowflake,0.0005402216920629144,triangle with three circles,0.0005345148383639753,person and a mound,0.0005236208089627326,circle with right curved arrow,0.000520991743542254,circle with left curved arrow,0.00044476514449343085,crossed out truck and car,0.00022737361723557115,triengle with right curved arrow,0.0002173574030166492,triengle with left curved arrow,0.00020024321565870196
/home/seba/Desktop/scripts/unsupervised_ml/data/train/0/00000_00003_00026.png,20,0.2669631242752075,120,0.12300340086221695,70,0.10952425748109818,30,0.09610791504383087,two cars,0.09182600677013397,50,0.044712748378515244,croos out 80,0.029235880821943283,100,0.02901921235024929,60,0.02832876704633236,80,0.024380527436733246,profile truck,0.020848281681537628,slipping car,0.01884239725768566,two vertical lines,0.01528680045157671,three arrows in a circle,0.015042281709611416,two mounds,0.011305691674351692,white circle,0.009223408065736294,bicycle,0.009091919288039207,truck and car,0.008765771985054016,Stop,0.008622879162430763,red circle and white line,0.008245399221777916,two crossed out cars,0.0062085404060781,person with child walking,0.0039846752770245075,z-shaped arrow,0.003354319604113698,crossed out circle,0.0025815574917942286,exclamation mark,0.002019635634496808,antelope,0.0018405835144221783,one person walking,0.0016973367892205715,circle with straight and curved arrow to the right,0.0014463310362771153,arrow with beside sticks,0.0013170652091503143,inverted white triangle,0.001148885115981102,circle with straight and left arrow to the right,0.0010565691627562046,yellow diamond,0.0010482448851689696,person and a mound,0.0008445067796856165,crossed out truck and car,0.0007151954923756421,circle with straight arrow,0.0005714349681511521,triangle with three circles,0.0004988994915038347,snowflake,0.00036754770553670824,circle with right diagonal arrow,0.0002489140024408698,circle with left diagonal arrow,0.00021688231208827347,circle with right curved arrow,0.00014312533312477171,circle with left curved arrow,0.00011520883708726615,triengle with right curved arrow,0.00011051476758439094,triengle with left curved arrow,8.728158718440682e-05
/home/seba/Desktop/scripts/unsupervised_ml/data/train/0/00000_00005_00028.png,20,0.392396479845047,120,0.19357794523239136,70,0.11293799430131912,two cars,0.061864618211984634,30,0.04010050743818283,100,0.029336029663681984,z-shaped arrow,0.028838831931352615,50,0.012899000197649002,80,0.01211748830974102,white circle,0.011169415898621082,60,0.01113822776824236,three arrows in a circle,0.011004096828401089,croos out 80,0.010856164619326591,crossed out circle,0.008003520779311657,two vertical lines,0.007080226205289364,two mounds,0.007025756873190403,Stop,0.0055150846019387245,bicycle,0.00502873957157135,antelope,0.00476636691018939,exclamation mark,0.004344861954450607,profile truck,0.004238906316459179,two crossed out cars,0.003928835969418287,one person walking,0.0024424355942755938,circle with straight and curved arrow to the right,0.0022496094461530447,red circle and white line,0.002127516083419323,yellow diamond,0.0018382536945864558,slipping car,0.0018258487107232213,person with child walking,0.0016485040541738272,truck and car,0.0012133440468460321,inverted white triangle,0.0011382908560335636,circle with straight and left arrow to the right,0.001043891184963286,person and a mound,0.0009750906610861421,snowflake,0.0007991618476808071,circle with straight arrow,0.0007446734816767275,arrow with beside sticks,0.000672236958052963,triangle with three circles,0.0006573036662302911,circle with right diagonal arrow,0.00041156477527692914,circle with right curved arrow,0.0004060521023347974,triengle with right curved arrow,0.00035739978193305433,circle with left diagonal arrow,0.0003427522024139762,triengle with left curved arrow,0.00032615443342365324,circle with left curved arrow,0.00032192206708714366,crossed out truck and car,0.00028883060440421104
/home/seba/Desktop/scripts/unsupervised_ml/data/train/0/00000_00005_00022.png,20,0.3485713303089142,120,0.22675307095050812,70,0.1551639586687088,30,0.05981692671775818,two cars,0.03502853587269783,z-shaped arrow,0.01831076107919216,three arrows in a circle,0.017045125365257263,100,0.015668539330363274,80,0.014506792649626732,slipping car,0.013908004388213158,50,0.013728153891861439,60,0.012753115966916084,profile truck,0.00989564135670662,two mounds,0.007565662264823914,white circle,0.0074848816730082035,croos out 80,0.007304776459932327,crossed out circle,0.005341720301657915,two vertical lines,0.005217322614043951,antelope,0.0031167371198534966,two crossed out cars,0.003095999825745821,yellow diamond,0.0025107201654464006,circle with straight and curved arrow to the right,0.0023587741889059544,red circle and white line,0.0022193696349859238,bicycle,0.0020993580110371113,Stop,0.0013629916356876493,exclamation mark,0.0011203369358554482,truck and car,0.001040689880028367,person with child walking,0.0009563486673869193,circle with straight and left arrow to the right,0.0008128246408887208,inverted white triangle,0.0006922578904777765,triangle with three circles,0.0006213188171386719,one person walking,0.0005871005123481154,circle with straight arrow,0.0005468121380545199,person and a mound,0.0004726031911559403,snowflake,0.0003549153043422848,arrow with beside sticks,0.0003312461485620588,crossed out truck and car,0.0003234679461456835,circle with right curved arrow,0.00026053423061966896,circle with left curved arrow,0.00025150898727588356,circle with left diagonal arrow,0.00024864758597686887,circle with right diagonal arrow,0.00024695126921869814,triengle with left curved arrow,0.000158750030095689,triengle with right curved arrow,0.0001455330930184573
